header,class,mechanism,group
Bla|OXA-243a|JX206446|1-828|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-108|EF650034|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
AGly|AadA9|AJ420072|26773-27609|837|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|OXA-325_1_KF203099|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@pvgb|AL123456|759806-763325|ARO:3003283|Mycobacterium|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Bla|SHV-2_4_GU064394|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|OXA-166|HM488987|1-822|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|25900616|emb|AJ437107.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
1846|AF156486.1|AF156486|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
AGly|aadA1_2_FJ591054|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
gi|26278934|gb|AY150585.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
@phgb|AF190693|208-1069|ARO:3000944|TEM-78|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
1613|AY740681.1|AY740681|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
gi|21388249|emb|AJ318093.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OXA-350_1_KF297579|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Gly|VanT-N_1_JF802084|Glycopeptides|VanN-type_resistance_protein|VANTN,Glycopeptides,VanN-type resistance protein,VANTN
MLS|ereA_3_AF326209|MLS|Macrolide_esterases|EREA,MLS,Macrolide esterases,EREA
Flq|Qnr-A2|AY675584|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,Fluoroquinolones,Quinolone resistance protein Qnr,QNRA
Sul|sul2_15_FJ968160|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
@phgb|AM941159|208-1069|ARO:3001022|TEM-156|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Met|nimE_1_AM042593|Metronidazole|nim_nitroimidazole_reductase|NIME,Metronidazole,nim nitroimidazole reductase,NIME
@pvgb|AL123456|4246513-4249810|ARO:3003326|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB,Mycobacterium tuberculosis-specific Drug,Ethambutol resistant arabinosyltransferase,EMBB
Bla|SHV-40|AF535128|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|591389155|gb|KF986260.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|AP009048|4338624-4340268|ARO:3003576|PmrC|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRC,Cationic antimicrobial peptides,Lipid A modification,PMRC
@phgb|AF030344|0-1260|ARO:3000181|tetV|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETV,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETV
Flq|QnrB53|HQ704413|1-681|681|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
937|M94066.1|SMAAACGIC|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Rif|NC_009725.1.5459527|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
@phgb|X03615|231-1230|ARO:3002661|APH7-DPRIME-Ia|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH7-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH7-DPRIME
gi|239909270|gb|GQ149244.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
AGly|Aac3-VIa|M88012|193-1092|900|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
@pvgb|AE000516|1908741-1909548|ARO:3003445|Mycobacterium|Aminoglycosides|Aminoglycoside-resistant_16S-23S_rRNA_O-methyltransferases|TLYA,Aminoglycosides,Aminoglycoside-resistant 16S-23S rRNA O-methyltransferases,TLYA
Bla|IMP-15|AY553333|114-854|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
Bla|CMY-7|AJ011291|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Sul|sul1_8_JN581942|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Bla|SHV-161|JX121128|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|300510841|gb|HM245380.1|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
Tet|TetE|DQ366299|36-1253|1218|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETE,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETE
AGly|aadA2_2_JQ363967|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
AGly|aac6-prime-Ib-cr_1_DQ303918|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
@phgb|GU584222|0-747|ARO:3003196|tet45|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET45,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET45
Sul|sul3_5_AB281182|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Mdr|NC_002745.1123101|Multi-drug_resistance|MDR_regulator|MEPR,Multi-drug resistance,MDR regulator,MEPR
gi|372864060|gb|JQ029959.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
AGly|AF047479.2|gene10|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
@phgb|EF526508|0-645|ARO:3002723|QnrB9|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Rif|CP000675.2|gene392|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
gi|698174201|gb|KM087855.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
Mdr|CP000034.1|gene2198|Multi-drug_resistance|MDR_regulator|ASMA,Multi-drug resistance,MDR regulator,ASMA
gi|88697140|gb|DQ392963.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Phe|AF231986|Phenicol|Phenicol_efflux_pumps|FLOR,Phenicol,Phenicol efflux pumps,FLOR
@phgb|M80346|0-1656|ARO:3002817|carA|MLS|Macrolide_resistance_efflux_pumps|CARA,MLS,Macrolide resistance efflux pumps,CARA
248|unknown_id|unknown_name|Tetracyclines|Tetracycline_transcriptional_repressor|TETR,Tetracyclines,Tetracycline transcriptional repressor,TETR
gi|13925892|gb|AF315786.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|D14532|1038-1974|ARO:3001306|ErmW|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM
1821|GQ149347.1|GQ149347|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
@phgb|U00096|2155262-2158385|ARO:3000793|mdtB|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTB,Multi-drug resistance,Multi-drug efflux pumps,MDTB
Bla|IND-2b|EF672681|1-732|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
1400|EU912537.1|EU912537|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|284468331|gb|GU550123.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Gly|NC_002745.1122806|Glycopeptides|Bleomycin_resistance_protein|BRP,Glycopeptides,Bleomycin resistance protein,BRP
Flq|QnrB65_1_KC580654|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
@phgb|AF237667|0-1446|ARO:3002813|lmrB|MLS|Lincosamide_efflux_pump|LMRB,MLS,Lincosamide efflux pump,LMRB
gi|146771514|gb|EF576988.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Tet|TetJ|AF038993|1084-2280|1197|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETJ,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETJ
Bla|OXA-165|HM488986|1-822|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|13236847|gb|AY027590.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|751813263|gb|KM979380.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Elf|CP001918.1|gene242|Elfamycins|EF-Tu_inhibition|TUFAB,Elfamycins,EF-Tu inhibition,TUFAB
gi|558605688|gb|KF526113.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@phgb|AB498758|3738-5762|ARO:3003440|mecB|betalactams|Penicillin_binding_protein|MECB,betalactams,Penicillin binding protein,MECB
Flq|NC_009725.1.5461733|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Sul|NC_008702.1.4608834|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
gi|3004512|gb|U14749.1|PAU14749|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
AGly|U01945.1|gene1|Aminoglycosides|Aminoglycoside_N-acetyltransferases|SAT,Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT
417|HQ541434.2|HQ541434|betalactams|Class_A_betalactamases|PME,betalactams,Class A betalactamases,PME
Bla|L-1|AJ272109|1-888|888|betalactams|Class_B_betalactamases|L1,betalactams,Class B betalactamases,L1
Bla|OXY5-2|AJ871871|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|SHV-145|JX013655|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
MLS|ermC_3_M17990|MLS|23S_rRNA_methyltransferases|ERMC,MLS,23S rRNA methyltransferases,ERMC
Bla|OXA-330_1_KF203104|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|TetA|JX424423|94438-95712|1275|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA
Bla|CMY-26|AB300358|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
@pvgb|Z70722|4202-6296|ARO:3003304|Mycobacterium|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB
gi|16798375|gb|AF427130.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Tet|tetM_12_FR671418|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
gi|46452173|gb|AY528718.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|Z_35_AJ302698|betalactams|Class_A_betalactamases|BLAZ,betalactams,Class A betalactamases,BLAZ
Gly|VanH-Pt_5_DQ018711|Glycopeptides|VanA-type_resistance_protein|VANHA,Glycopeptides,VanA-type resistance protein,VANHA
MLS|lsaA_3_AY737526|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA,MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA
gi|388564847|gb|JQ733576.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
MLS|MsrD|AF274302|2462-3925|1464|MLS|Macrolide_resistance_efflux_pumps|MSRD,MLS,Macrolide resistance efflux pumps,MSRD
Bla|CTX-M-34|AY51597|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
MLS|KC539823.1|gene1|MLS|ABC_transporter|VGA,MLS,ABC transporter,VGA
@phgb|AF015628|1306-1945|ARO:3002842|vatC|MLS|Streptogramin_A_O-acetyltransferase|VATC,MLS,Streptogramin A O-acetyltransferase,VATC
Gly|VanS-D|AB242319|689-1834|1146|Glycopeptides|VanD-type_regulator|VANSD,Glycopeptides,VanD-type regulator,VANSD
gi|4581956|emb|Y10693.2|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|Nps1|AY027589|46-828|783|betalactams|Class_A_betalactamases|NPS,betalactams,Class A betalactamases,NPS
Bla|IMP-28|HQ263342|1-741|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
AGly|Aac6-Ig|L09246|544-981|438|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|IND-9|GU186045|35-754|720|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
@phgb|EF102240|11722-12565|ARO:3001647|OXA-97|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|6176547|gb|AF190695.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|B-10|AY348325|1-747|747|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
gi|125658581|gb|EF373969.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Mdr|CP000647.1|gene956|Multi-drug_resistance|Mutant_porin_proteins|OMPF,Multi-drug resistance,Mutant porin proteins,OMPF
Phe|M58516.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
gi|591389161|gb|KF986263.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Rif|Arr6|JF922883|1-453|453|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,Rifampin,Rifampin ADP-ribosyltransferase Arr,ARR
Bla|OXA-88|DQ392963|9-833|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@pvgb|NC_003112|2157528-2158524|ARO:3000464|Neisseria|Multi-drug_resistance|Mutant_porin_proteins|POR,Multi-drug resistance,Mutant porin proteins,POR
Bla|KF986263.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-55|AY343493|77-946|870|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-109|FJ157357|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|IMP-4|DQ307573|3-743|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
@phgb|EF672680|0-729|ARO:3000841|CGB-1|betalactams|Class_B_betalactamases|CGB,betalactams,Class B betalactamases,CGB
gi|698174171|gb|KM087840.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|LEN-3|AY130286|1-823|823|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|OXA-136_1_EU086833|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@pvgb|AP009048|3760295-3762710|ARO:3003303|Escherichia|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB
MLS|LnuB|AJ238249|127-930|804|MLS|Lincosamide_nucleotidyltransferases|LNUB,MLS,Lincosamide nucleotidyltransferases,LNUB
Bla|OXA-94|DQ519088|9-833|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|NC_012491.1.7719839|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
gi|393716496|gb|JX089628.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
ACou|NC_006582.1.320275|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
Bla|VEB-1_1_HM370393|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB
@phgb|JQ727668|0-375|ARO:3000823|ramA|Multi-drug_resistance|MDR_regulator|RAMA,Multi-drug resistance,MDR regulator,RAMA
gi|295809671|emb|AM991978.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-51_8_EU255291|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CTX-M-24_1_EU921824|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|388891770|gb|JQ772478.1|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
Flq|QnrB26|HQ386846|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|OKP-A-2|AJ635404|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
Bla|OKP-B-19|AM850921|25-885|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
MLS|DQ157752.1|gene4|MLS|Macrolide_esterases|EREA,MLS,Macrolide esterases,EREA
Phe|U12338.3|gene8|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML
1727|AY162283.2|AY162283|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
AGly|Aac6-Iv|AF031330|1-441|441|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
1358|AB636283.1|AB636283|betalactams|Class_B_betalactamases|SMB,betalactams,Class B betalactamases,SMB
Bla|IMI-3|GU015024|1-879|879|betalactams|Class_A_betalactamases|IMI,betalactams,Class A betalactamases,IMI
gi|160858185|emb|AJ866284.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|829027062|gb|KP410856.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
928|X15852.1|X15852|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
Bla|OXA-31|AF294653|754-1581|828|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|NC_007793.3915320|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|FJ666072.1|gene1|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC
Gly|VanC3|AY033764|26-1078|1053|Glycopeptides|VanC-type_resistance_protein|VANC,Glycopeptides,VanC-type resistance protein,VANC
Tet|tetA_3_AY196695|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA
gi|13562034|gb|AF351241.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OxY4-1|AY077481|125-1057|934|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|JX192924.1|gene1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|cfiA15|AF429432|1501-2250|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA
Tet|tetB_5_AJ277653|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB
AGly|AY00784.1|gene2|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|667794895|gb|KJ865754.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|NC_003112.2.903415|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|LEN-9|AJ635423|1-789|789|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
gi|40737711|gb|AY368237.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
1550|KJ510410.1|KJ510410|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
Mdr|NC_011586.7046391|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEA,Multi-drug resistance,Multi-drug efflux pumps,ADEA
Flq|QnrB6|EF520349|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Gly|ddlA2_2_AL939117|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA
Bla|B-3_2_AF189299|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
817|AF036933.1|AF036933|Phenicol|Chloramphenicol_acetyltransferases|CATB,Phenicol,Chloramphenicol acetyltransferases,CATB
AGly|AadA22|AM261837|74-865|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
@phgb|EU250284|4730-5426|ARO:3002927|vanRL|Glycopeptides|VanL-type_regulator|VANRL,Glycopeptides,VanL-type regulator,VANRL
Bla|OXA-58_14_EU107364|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|AF121000|0-1155|ARO:3000183|tetZ|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETZ,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETZ
AGly|U12338.3|gene7|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
@phgb|X82668|187-922|ARO:3000250|ErmC|MLS|23S_rRNA_methyltransferases|ERMC,MLS,23S rRNA methyltransferases,ERMC
gi|157779404|gb|EU019535.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
@phgb|AY033516|2835-3711|ARO:3001880|CTX-M-17|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|NC_010611.6235697|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Flq|AE000516.2|gene6|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
1659|JN596280.1|JN596280|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
AGly|Ant6-Ib|FN594949|27482-28339|858|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
1573|LC031883.1|LC031883|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML
Bla|TEM-29|AJ277416|1-861|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Phe|CatD|X15110|91-729|639|Phenicol|Chloramphenicol_acetyltransferases|CATP,Phenicol,Chloramphenicol acetyltransferases,CATP
gi|374414413|gb|JN714478.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
669|AY220558.1|AY220558|Aminoglycosides|16S_rRNA_methyltransferases|ARMA,Aminoglycosides,16S rRNA methyltransferases,ARMA
gi|157779402|gb|EU019534.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Flq|AE015929.1|gene5|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|X65253.1|gene1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CMY-67|JQ711185|1028-2173|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Mdr|oqxB_1_EU370913|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXB,Multi-drug resistance,Multi-drug efflux pumps,OQXB
@phgb|HQ833651|244-1120|ARO:3001965|CTX-M-105|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
AGly|AacA4|AF416297|2738-3304|567|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|LEN-24|AM850914|1-861|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
gi|2462700|emb|Y14156.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Sul|NC_007622.3794340|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|TEM-71|AF203816|211-1071|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
301|FJ349556.1|FJ349556|Glycopeptides|VanA-type_resistance_protein|VANA,Glycopeptides,VanA-type resistance protein,VANA
Flq|QnrA6|DQ151889|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,Fluoroquinolones,Quinolone resistance protein Qnr,QNRA
